Application,ProcessID,SwapChainAddress,Runtime,SyncInterval,PresentFlags,Dropped,TimeInSeconds,msInPresentAPI,msBetweenPresents,AllowsTearing,PresentMode,msUntilRenderComplete,msUntilDisplayed,msBetweenDisplayChange
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.72921980000000,0.01050000000000,3.07300000000000,1,Hardware: Independent Flip,0.13610000000000,0.13610000000000,3.06950000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.73228810000000,0.01050000000000,3.06830000000000,1,Hardware: Independent Flip,0.22380000000000,0.22380000000000,3.15600000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.73546460000000,0.01100000000000,3.17650000000000,1,Hardware: Independent Flip,0.13970000000000,0.13970000000000,3.09240000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.73851460000000,0.01020000000000,3.05000000000000,1,Hardware: Independent Flip,0.13740000000000,0.13740000000000,3.04770000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.74156360000000,0.01050000000000,3.04900000000000,1,Hardware: Independent Flip,0.14080000000000,0.14080000000000,3.05240000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.74465530000000,0.01060000000000,3.09170000000000,1,Hardware: Independent Flip,0.13660000000000,0.13660000000000,3.08750000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.74778340000000,0.01020000000000,3.12810000000000,1,Hardware: Independent Flip,0.13360000000000,0.13360000000000,3.12510000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.75085110000000,0.01030000000000,3.06770000000000,1,Hardware: Independent Flip,0.16700000000000,0.16700000000000,3.10110000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.75396060000000,0.01030000000000,3.10950000000000,1,Hardware: Independent Flip,0.13860000000000,0.13860000000000,3.08110000000000
pno0001.exe,9444,0x000000000D4B6DE0,D3D9,0,0,0,1.75710270000000,0.01470000000000,3.14210000000000,1,Hardware: Independent Flip,0.22400000000000,0.22400000000000,3.22750000000000
